AGE,B,RM,CRIM,DIS,INDUS,LSTAT,NOX,PTRATIO,RAD,ZN,TAX,CHAS,Target
40.3,392.92,5.762,2.81838,4.0983,18.1,10.42,0.532,20.2,24,0.0,666,0,21.8
59.7,24.65,5.837,12.2472,1.9976,18.1,15.69,0.584,20.2,24,0.0,666,0,10.2
91.7,396.9,6.142,1.23247,3.9769,8.14,18.72,0.538,21.0,4,0.0,307,0,15.2
52.6,390.3,7.47,0.5405,2.872,3.97,3.16,0.575,13.0,5,20.0,264,0,43.5
100.0,366.15,6.216,9.2323,1.1691,18.1,9.53,0.631,20.2,24,0.0,666,0,50.0
58.4,396.9,6.98,0.0578,2.829,2.46,5.04,0.488,17.8,3,0.0,193,0,37.2
98.3,344.05,5.414,0.18337,1.7554,27.74,23.97,0.609,20.1,4,0.0,711,0,7.0
15.7,395.38,7.61,0.02177,6.27,2.03,3.11,0.415,14.7,2,82.5,348,0,42.3
93.4,378.08,5.966,0.17171,6.8185,5.13,14.44,0.453,19.7,8,25.0,284,0,16.0
89.2,392.53,5.965,0.85204,4.0123,8.14,13.83,0.538,21.0,4,0.0,307,0,19.6
51.8,390.77,7.691,0.22188,4.3665,6.96,6.58,0.464,18.6,3,20.0,223,1,35.2
42.6,396.9,5.926,0.27957,2.3817,9.69,13.59,0.585,19.2,6,0.0,391,0,24.5
57.8,357.98,6.625,0.12204,3.4952,2.89,6.65,0.445,18.0,2,0.0,276,0,28.4
95.6,60.72,6.38,9.33889,1.9682,18.1,24.08,0.679,20.2,24,0.0,666,0,9.5
84.2,388.74,6.254,0.14231,2.2565,10.01,10.45,0.547,17.8,6,0.0,432,0,18.5
6.5,394.46,6.211,0.15936,5.7209,6.91,7.44,0.448,17.9,3,0.0,233,0,24.7
69.7,389.15,5.87,0.06899,2.2577,25.65,14.37,0.581,19.1,2,0.0,188,0,22.0
87.9,10.48,5.976,4.66883,2.5806,18.1,19.01,0.713,20.2,24,0.0,666,0,12.7
87.9,100.19,6.436,5.58107,2.3158,18.1,16.22,0.713,20.2,24,0.0,666,0,14.3
63.1,396.06,7.079,0.05302,3.4145,3.41,5.7,0.489,17.8,2,0.0,270,0,28.7
36.1,384.46,6.728,0.01709,12.1265,2.02,4.5,0.41,17.0,5,90.0,187,0,30.1
18.5,392.33,5.884,0.07244,10.7103,1.69,7.79,0.411,18.3,4,60.0,411,0,18.6
40.5,392.9,6.816,0.01432,8.3248,1.32,3.95,0.411,15.1,5,100.0,256,0,31.6
98.2,355.29,6.655,5.44114,2.3552,18.1,17.73,0.713,20.2,24,0.0,666,0,15.2
87.6,291.55,5.648,12.0482,1.9512,18.1,14.1,0.614,20.2,24,0.0,666,0,20.8
85.7,303.42,5.599,0.84054,4.4546,8.14,16.51,0.538,21.0,4,0.0,307,0,13.9
79.7,396.9,6.027,0.22438,2.4982,9.69,14.33,0.585,19.2,6,0.0,391,0,16.8
98.5,261.95,5.709,2.14918,1.6232,19.58,15.79,0.871,14.7,5,0.0,403,0,19.4
90.7,395.33,6.229,4.03841,3.0993,18.1,12.87,0.532,20.2,24,0.0,666,0,19.6
70.2,389.13,5.605,0.19133,7.9549,5.86,18.46,0.431,19.1,7,22.0,330,0,18.5
53.6,392.63,7.831,0.05602,3.1992,2.46,4.45,0.488,17.8,3,0.0,193,0,50.0
17.8,396.9,6.29,0.03584,6.6115,3.37,4.67,0.398,16.1,4,80.0,337,0,23.5
